Group,Block_Type,Subject,Beta_Coefficient
Explicit,Baseline,sub-101,-1.6061319272407075
Explicit,Baseline,sub-103,1.006087180571416
Explicit,Baseline,sub-106,7.335734360100584
Explicit,Baseline,sub-112,-1.1758024509662541
Explicit,Baseline,sub-113,1.2196147438159455
Explicit,Baseline,sub-114,0.276774807550692
Explicit,Baseline,sub-117,2.472141169267179
Explicit,Baseline,sub-118,2.4386124929414974
Explicit,Baseline,sub-120,-0.8544567034324251
Explicit,Baseline,sub-124,3.3547100394905613
Explicit,Baseline,sub-130,-1.0191491326865292
Explicit,Baseline,sub-133,-2.417652799203837
Explicit,Baseline,sub-134,1.3415494929814824
Explicit,Baseline,sub-136,0.897663999849653
Explicit,Baseline,sub-138,0.19321563076228873
Explicit,Baseline,sub-140,-1.3608404608153004
Explicit,Baseline,sub-143,2.101787869791696
Explicit,Baseline,sub-145,2.759166281164454
Explicit,Adaptation,sub-101,-0.6850414826651384
Explicit,Adaptation,sub-103,0.958876649953405
Explicit,Adaptation,sub-106,-1.166964558339369
Explicit,Adaptation,sub-112,0.09380494926914004
Explicit,Adaptation,sub-113,0.3409586210430715
Explicit,Adaptation,sub-114,1.6657371566200028
Explicit,Adaptation,sub-117,0.286357589603391
Explicit,Adaptation,sub-118,1.1972313410446107
Explicit,Adaptation,sub-120,-0.6933075650775171
Explicit,Adaptation,sub-124,-1.7953451165337597
Explicit,Adaptation,sub-130,0.5003863415002028
Explicit,Adaptation,sub-133,3.080172988371318
Explicit,Adaptation,sub-134,1.633496913188142
Explicit,Adaptation,sub-136,3.1229336891289634
Explicit,Adaptation,sub-138,-1.6469721391842085
Explicit,Adaptation,sub-140,0.9319811673116964
Explicit,Adaptation,sub-143,0.6634401029951258
Explicit,Adaptation,sub-145,0.002051793799287877
Explicit,Washout,sub-101,1.8765360919967906
Explicit,Washout,sub-103,-0.684752964404266
Explicit,Washout,sub-106,-0.9008179420263756
Explicit,Washout,sub-112,0.8872711615704864
Explicit,Washout,sub-113,1.7801286722264857
Explicit,Washout,sub-114,-0.3102911310768674
Explicit,Washout,sub-117,0.01145647679682057
Explicit,Washout,sub-118,0.6295428084946535
Explicit,Washout,sub-120,-1.3264452691749529
Explicit,Washout,sub-124,-6.645957043620707
Explicit,Washout,sub-130,-2.1792893702601224
Explicit,Washout,sub-133,-0.35520848312410336
Explicit,Washout,sub-134,0.06984729685469496
Explicit,Washout,sub-136,2.2027823540994103
Explicit,Washout,sub-138,-4.2165545040576875
Explicit,Washout,sub-140,0.4888148195157895
Explicit,Washout,sub-143,-1.4704132672354262
Explicit,Washout,sub-145,2.4239641860713736
Implicit,Baseline,sub-102,5.221312655670812
Implicit,Baseline,sub-107,-1.135187332325826
Implicit,Baseline,sub-108,0.6473194561898559
Implicit,Baseline,sub-109,-13.050902006724895
Implicit,Baseline,sub-110,0.8647610533317489
Implicit,Baseline,sub-111,-4.180607142673855
Implicit,Baseline,sub-119,2.0013920170835586
Implicit,Baseline,sub-122,3.6100835957642414
Implicit,Baseline,sub-123,-1.032157807199182
Implicit,Baseline,sub-126,1.5841245306301786
Implicit,Baseline,sub-127,-0.11991258813252652
Implicit,Baseline,sub-129,-0.9480134541564391
Implicit,Baseline,sub-131,-1.6866667643596789
Implicit,Baseline,sub-132,0.19056981499209233
Implicit,Baseline,sub-135,5.314488297339295
Implicit,Baseline,sub-139,-1.0743345034064693
Implicit,Baseline,sub-141,0.28436719148693024
Implicit,Baseline,sub-142,0.0994843242395927
Implicit,Baseline,sub-144,0.10412928748587841
Implicit,Adaptation,sub-102,0.8496005972808118
Implicit,Adaptation,sub-107,0.47533410866937326
Implicit,Adaptation,sub-108,-1.4420732918112988
Implicit,Adaptation,sub-109,0.329195742508044
Implicit,Adaptation,sub-110,0.8056130168702139
Implicit,Adaptation,sub-111,-0.4504554861115768
Implicit,Adaptation,sub-119,0.32535773743035795
Implicit,Adaptation,sub-122,-0.07305635730625804
Implicit,Adaptation,sub-123,-0.6187755274883843
Implicit,Adaptation,sub-126,1.711289692366038
Implicit,Adaptation,sub-127,0.39567257703183034
Implicit,Adaptation,sub-129,0.8739624010548624
Implicit,Adaptation,sub-131,-0.10330592426291976
Implicit,Adaptation,sub-132,0.4884268408186858
Implicit,Adaptation,sub-135,0.05125594700899727
Implicit,Adaptation,sub-139,0.4644203442106181
Implicit,Adaptation,sub-141,1.0339910255062477
Implicit,Adaptation,sub-142,0.1177384431965454
Implicit,Adaptation,sub-144,0.7766444654392849
Implicit,Washout,sub-102,9.443481771013559
Implicit,Washout,sub-107,2.436639266548601
Implicit,Washout,sub-108,1.0808910294975445
Implicit,Washout,sub-109,1.5645557762358493
Implicit,Washout,sub-110,2.095281028818524
Implicit,Washout,sub-111,1.551639988001404
Implicit,Washout,sub-119,2.2766088008239733
Implicit,Washout,sub-122,2.795816727172809
Implicit,Washout,sub-123,2.8746566698180027
Implicit,Washout,sub-126,0.2584608435852184
Implicit,Washout,sub-127,3.1030922742668716
Implicit,Washout,sub-129,1.8716661819010805
Implicit,Washout,sub-131,11.695866016882977
Implicit,Washout,sub-132,0.1788854441097211
Implicit,Washout,sub-135,1.7973936661641199
Implicit,Washout,sub-139,-0.9058838985329893
Implicit,Washout,sub-141,0.4908239589634031
Implicit,Washout,sub-142,2.040362396116258
Implicit,Washout,sub-144,-0.10178220436021074
